timeStamp,label,threadName,Latency
1516797475255,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,192
1516797475257,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,195
1516797475257,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,195
1516797475256,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,196
1516797475256,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,196
1516797475372,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,149
1516797475419,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,150
1516797475419,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-1,154
1516797475447,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,200
1516797475452,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,195
1516797475452,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,195
1516797475452,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,197
1516797475452,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,198
1516797475521,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,158
1516797475569,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,157
1516797475679,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,149
1516797475647,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797475647,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,193
1516797475650,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,190
1516797475647,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,193
1516797475649,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,192
1516797475727,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,154
1516797475828,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,156
1516797475881,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,148
1516797475840,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,192
1516797475840,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,193
1516797475841,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,194
1516797475840,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,195
1516797475841,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,194
1516797475984,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-5,123
1516797476029,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,156
1516797476032,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,194
1516797476035,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-4,194
1516797476035,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-5,195
1516797476035,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-3,197
1516797476033,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-1,202
1516797476189,5 Sensors connected to Google,A thread group of 5 sensors for Google 2-4,154
1516797476227,5 Sensors connected to AWS,A thread group of 5 sensors for AWS 1-2,193
